Samp	Length	Serotype
lcl|HQ630677.1_cds_ADY11032.1_1 [gene=1D] [protein=VP1 protein] [protein_id=ADY11032.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ630676.1_cds_ADY11031.1_1 [gene=1D] [protein=VP1 protein] [protein_id=ADY11031.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320458.1_cds_UYP38735.1_1 [protein=VP1] [protein_id=UYP38735.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320457.1_cds_UYP38734.1_1 [protein=VP1] [protein_id=UYP38734.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320456.1_cds_UYP38733.1_1 [protein=VP1] [protein_id=UYP38733.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320455.1_cds_UYP38732.1_1 [protein=VP1] [protein_id=UYP38732.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320454.1_cds_UYP38731.1_1 [protein=VP1] [protein_id=UYP38731.1] [location=<1..>570] [gbkey=CDS]	570	O
lcl|OP320453.1_cds_UYP38730.1_1 [protein=VP1] [protein_id=UYP38730.1] [location=<1..>576] [gbkey=CDS]	576	O
lcl|OP320452.1_cds_UYP38729.1_1 [protein=VP1] [protein_id=UYP38729.1] [location=<1..>573] [gbkey=CDS]	573	O
lcl|OP320451.1_cds_UYP38728.1_1 [protein=VP1] [protein_id=UYP38728.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320450.1_cds_UYP38727.1_1 [protein=VP1] [protein_id=UYP38727.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320449.1_cds_UYP38726.1_1 [protein=VP1] [protein_id=UYP38726.1] [location=<1..>570] [gbkey=CDS]	570	O
lcl|OP320448.1_cds_UYP38725.1_1 [protein=VP1] [protein_id=UYP38725.1] [location=<1..>468] [gbkey=CDS]	468	O
lcl|OP320447.1_cds_UYP38724.1_1 [protein=VP1] [protein_id=UYP38724.1] [location=<1..>570] [gbkey=CDS]	570	O
lcl|OP320446.1_cds_UYP38723.1_1 [protein=VP1] [protein_id=UYP38723.1] [location=<1..>570] [gbkey=CDS]	570	O
lcl|OP320445.1_cds_UYP38722.1_1 [protein=VP1] [protein_id=UYP38722.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320444.1_cds_UYP38721.1_1 [protein=VP1] [protein_id=UYP38721.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320443.1_cds_UYP38720.1_1 [protein=VP1] [protein_id=UYP38720.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320442.1_cds_UYP38719.1_1 [protein=VP1] [protein_id=UYP38719.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320441.1_cds_UYP38718.1_1 [protein=VP1] [protein_id=UYP38718.1] [location=<1..>582] [gbkey=CDS]	582	O
lcl|OP320440.1_cds_UYP38717.1_1 [protein=VP1] [protein_id=UYP38717.1] [location=<1..>579] [gbkey=CDS]	579	O
lcl|OP320439.1_cds_UYP38716.1_1 [protein=VP1] [protein_id=UYP38716.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320438.1_cds_UYP38715.1_1 [protein=VP1] [protein_id=UYP38715.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320437.1_cds_UYP38714.1_1 [protein=VP1] [protein_id=UYP38714.1] [location=<1..>579] [gbkey=CDS]	579	A
lcl|OP320436.1_cds_UYP38713.1_1 [protein=VP1] [protein_id=UYP38713.1] [location=<1..>579] [gbkey=CDS]	579	A
lcl|OP320435.1_cds_UYP38712.1_1 [protein=VP1] [protein_id=UYP38712.1] [location=<1..>564] [gbkey=CDS]	564	A
lcl|OP320434.1_cds_UYP38711.1_1 [protein=VP1] [protein_id=UYP38711.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320433.1_cds_UYP38710.1_1 [protein=VP1] [protein_id=UYP38710.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320432.1_cds_UYP38709.1_1 [protein=VP1] [protein_id=UYP38709.1] [location=<1..>585] [gbkey=CDS]	585	O
lcl|OP320431.1_cds_UYP38708.1_1 [protein=VP1] [protein_id=UYP38708.1] [location=<1..>585] [gbkey=CDS]	585	O
lcl|OP320430.1_cds_UYP38707.1_1 [protein=VP1] [protein_id=UYP38707.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320429.1_cds_UYP38706.1_1 [protein=VP1] [protein_id=UYP38706.1] [location=<1..>501] [gbkey=CDS]	501	A
lcl|OP320428.1_cds_UYP38705.1_1 [protein=VP1] [protein_id=UYP38705.1] [location=<1..>516] [gbkey=CDS]	516	A
lcl|OP320427.1_cds_UYP38704.1_1 [protein=VP1] [protein_id=UYP38704.1] [location=<1..>519] [gbkey=CDS]	519	O
lcl|OP320426.1_cds_UYP38703.1_1 [protein=VP1] [protein_id=UYP38703.1] [location=<1..>585] [gbkey=CDS]	585	O
lcl|OP320425.1_cds_UYP38702.1_1 [protein=VP1] [protein_id=UYP38702.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP320424.1_cds_UYP38701.1_1 [protein=VP1] [protein_id=UYP38701.1] [location=<1..>504] [gbkey=CDS]	504	O
lcl|OP320423.1_cds_UYP38700.1_1 [protein=VP1] [protein_id=UYP38700.1] [location=<1..>585] [gbkey=CDS]	585	O
lcl|OP320422.1_cds_UYP38699.1_1 [protein=VP1] [protein_id=UYP38699.1] [location=<1..>585] [gbkey=CDS]	585	O
lcl|OP320421.1_cds_UYP38698.1_1 [protein=VP1] [protein_id=UYP38698.1] [location=<1..>546] [gbkey=CDS]	546	O
lcl|OP320420.1_cds_UYP38697.1_1 [protein=VP1] [protein_id=UYP38697.1] [location=<1..>582] [gbkey=CDS]	582	O
lcl|OP320419.1_cds_UYP38696.1_1 [protein=VP1] [protein_id=UYP38696.1] [location=<1..>516] [gbkey=CDS]	516	O
lcl|OP320418.1_cds_UYP38695.1_1 [protein=VP1] [protein_id=UYP38695.1] [location=<1..>579] [gbkey=CDS]	579	O
lcl|OP320417.1_cds_UYP38694.1_1 [protein=VP1] [protein_id=UYP38694.1] [location=<1..>579] [gbkey=CDS]	579	O
lcl|OP320416.1_cds_UYP38693.1_1 [protein=VP1] [protein_id=UYP38693.1] [location=<1..>594] [gbkey=CDS]	594	O
lcl|OP320415.1_cds_UYP38692.1_1 [protein=VP1] [protein_id=UYP38692.1] [location=<1..>531] [gbkey=CDS]	531	O
lcl|OP271697.1_cds_UYP11328.1_1 [protein=VP1] [protein_id=UYP11328.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|OP271696.1_cds_UYP11327.1_1 [protein=VP1] [protein_id=UYP11327.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MN447114.1_cds_QFP12370.1_1 [protein=VP1] [protein_id=QFP12370.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MN447113.1_cds_QFP12369.1_1 [protein=VP1] [protein_id=QFP12369.1] [location=<1..>243] [gbkey=CDS]	243	Asia 1
lcl|HQ630696.1_cds_ADY11051.1_1 [gene=1D] [protein=VP1 protein] [protein_id=ADY11051.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ630695.1_cds_ADY11050.1_1 [gene=1D] [protein=VP1 protein] [protein_id=ADY11050.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ630694.1_cds_ADY11049.1_1 [gene=1D] [protein=VP1 protein] [protein_id=ADY11049.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|HQ630693.1_cds_ADY11048.1_1 [gene=1D] [protein=VP1 protein] [protein_id=ADY11048.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MN596870.1_cds_QKZ25446.1_1 [protein=VP1] [protein_id=QKZ25446.1] [location=<1..>633] [gbkey=CDS]	633	A
lcl|MN596869.1_cds_QKZ25445.1_1 [protein=VP1] [protein_id=QKZ25445.1] [location=<1..>633] [gbkey=CDS]	633	A
