Sample ID	Length	Serotype
lcl|HQ439281.1_cds_ADZ98806.1_1 [protein=VP1] [protein_id=ADZ98806.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439280.1_cds_ADZ98805.1_1 [protein=VP1] [protein_id=ADZ98805.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439279.1_cds_ADZ98804.1_1 [protein=VP1] [protein_id=ADZ98804.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439278.1_cds_ADZ98803.1_1 [protein=VP1] [protein_id=ADZ98803.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439277.1_cds_ADZ98802.1_1 [protein=VP1] [protein_id=ADZ98802.1] [location=<1..>417] [gbkey=CDS]	417	A
lcl|HQ439276.1_cds_ADZ98801.1_1 [protein=VP1] [protein_id=ADZ98801.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439275.1_cds_ADZ98800.1_1 [protein=VP1] [protein_id=ADZ98800.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439274.1_cds_ADZ98799.1_1 [protein=VP1] [protein_id=ADZ98799.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439273.1_cds_ADZ98798.1_1 [protein=VP1] [protein_id=ADZ98798.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439272.1_cds_ADZ98797.1_1 [protein=VP1] [protein_id=ADZ98797.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439271.1_cds_ADZ98796.1_1 [protein=VP1] [protein_id=ADZ98796.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439270.1_cds_ADZ98795.1_1 [protein=VP1] [protein_id=ADZ98795.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439269.1_cds_ADZ98794.1_1 [protein=VP1] [protein_id=ADZ98794.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439268.1_cds_ADZ98793.1_1 [protein=VP1] [protein_id=ADZ98793.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439267.1_cds_ADZ98792.1_1 [protein=VP1] [protein_id=ADZ98792.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439266.1_cds_ADZ98791.1_1 [protein=VP1] [protein_id=ADZ98791.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439265.1_cds_ADZ98790.1_1 [protein=VP1] [protein_id=ADZ98790.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439264.1_cds_ADZ98789.1_1 [protein=VP1] [protein_id=ADZ98789.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439263.1_cds_ADZ98788.1_1 [protein=VP1] [protein_id=ADZ98788.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439262.1_cds_ADZ98787.1_1 [protein=VP1] [protein_id=ADZ98787.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|HQ439261.1_cds_ADZ98786.1_1 [protein=VP1] [protein_id=ADZ98786.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT443048.1_cds_QWL56144.1_1 [protein=VP1] [protein_id=QWL56144.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443047.1_cds_QWL56143.1_1 [protein=VP1] [protein_id=QWL56143.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443046.1_cds_QWL56142.1_1 [protein=VP1] [protein_id=QWL56142.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443045.1_cds_QWL56141.1_1 [protein=VP1] [protein_id=QWL56141.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443044.1_cds_QWL56140.1_1 [protein=VP1] [protein_id=QWL56140.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443043.1_cds_QWL56139.1_1 [protein=VP1] [protein_id=QWL56139.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443042.1_cds_QWL56138.1_1 [protein=VP1] [protein_id=QWL56138.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443041.1_cds_QWL56137.1_1 [protein=VP1] [protein_id=QWL56137.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443040.1_cds_QWL56136.1_1 [protein=VP1] [protein_id=QWL56136.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443039.1_cds_QWL56135.1_1 [protein=VP1] [protein_id=QWL56135.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443038.1_cds_QWL56134.1_1 [protein=VP1] [protein_id=QWL56134.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443037.1_cds_QWL56133.1_1 [protein=VP1] [protein_id=QWL56133.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443036.1_cds_QWL56132.1_1 [protein=VP1] [protein_id=QWL56132.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443035.1_cds_QWL56131.1_1 [protein=VP1] [protein_id=QWL56131.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443034.1_cds_QWL56130.1_1 [protein=VP1] [protein_id=QWL56130.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443033.1_cds_QWL56129.1_1 [protein=VP1] [protein_id=QWL56129.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443032.1_cds_QWL56128.1_1 [protein=VP1] [protein_id=QWL56128.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443031.1_cds_QWL56127.1_1 [protein=VP1] [protein_id=QWL56127.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443030.1_cds_QWL56126.1_1 [protein=VP1] [protein_id=QWL56126.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443029.1_cds_QWL56125.1_1 [protein=VP1] [protein_id=QWL56125.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443028.1_cds_QWL56124.1_1 [protein=VP1] [protein_id=QWL56124.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443027.1_cds_QWL56123.1_1 [protein=VP1] [protein_id=QWL56123.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443026.1_cds_QWL56122.1_1 [protein=VP1] [protein_id=QWL56122.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443025.1_cds_QWL56121.1_1 [protein=VP1] [protein_id=QWL56121.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443024.1_cds_QWL56120.1_1 [protein=VP1] [protein_id=QWL56120.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443023.1_cds_QWL56119.1_1 [protein=VP1] [protein_id=QWL56119.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443022.1_cds_QWL56118.1_1 [protein=VP1] [protein_id=QWL56118.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443021.1_cds_QWL56117.1_1 [protein=VP1] [protein_id=QWL56117.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443020.1_cds_QWL56116.1_1 [protein=VP1] [protein_id=QWL56116.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443019.1_cds_QWL56115.1_1 [protein=VP1] [protein_id=QWL56115.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443018.1_cds_QWL56114.1_1 [protein=VP1] [protein_id=QWL56114.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443017.1_cds_QWL56113.1_1 [protein=VP1] [protein_id=QWL56113.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443016.1_cds_QWL56112.1_1 [protein=VP1] [protein_id=QWL56112.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443015.1_cds_QWL56111.1_1 [protein=VP1] [protein_id=QWL56111.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443014.1_cds_QWL56110.1_1 [protein=VP1] [protein_id=QWL56110.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443013.1_cds_QWL56109.1_1 [protein=VP1] [protein_id=QWL56109.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443012.1_cds_QWL56108.1_1 [protein=VP1] [protein_id=QWL56108.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443011.1_cds_QWL56107.1_1 [protein=VP1] [protein_id=QWL56107.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443010.1_cds_QWL56106.1_1 [protein=VP1] [protein_id=QWL56106.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443009.1_cds_QWL56105.1_1 [protein=VP1] [protein_id=QWL56105.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443008.1_cds_QWL56104.1_1 [protein=VP1] [protein_id=QWL56104.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443007.1_cds_QWL56103.1_1 [protein=VP1] [protein_id=QWL56103.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443006.1_cds_QWL56102.1_1 [protein=VP1] [protein_id=QWL56102.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443005.1_cds_QWL56101.1_1 [protein=VP1] [protein_id=QWL56101.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443004.1_cds_QWL56100.1_1 [protein=VP1] [protein_id=QWL56100.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443003.1_cds_QWL56099.1_1 [protein=VP1] [protein_id=QWL56099.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443002.1_cds_QWL56098.1_1 [protein=VP1] [protein_id=QWL56098.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443001.1_cds_QWL56097.1_1 [protein=VP1] [protein_id=QWL56097.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT443000.1_cds_QWL56096.1_1 [protein=VP1] [protein_id=QWL56096.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442999.1_cds_QWL56095.1_1 [protein=VP1] [protein_id=QWL56095.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442998.1_cds_QWL56094.1_1 [protein=VP1] [protein_id=QWL56094.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442997.1_cds_QWL56093.1_1 [protein=VP1] [protein_id=QWL56093.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442996.1_cds_QWL56092.1_1 [protein=VP1] [protein_id=QWL56092.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442995.1_cds_QWL56091.1_1 [protein=VP1] [protein_id=QWL56091.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442994.1_cds_QWL56090.1_1 [protein=VP1] [protein_id=QWL56090.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442993.1_cds_QWL56089.1_1 [protein=VP1] [protein_id=QWL56089.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442992.1_cds_QWL56088.1_1 [protein=VP1] [protein_id=QWL56088.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442991.1_cds_QWL56087.1_1 [protein=VP1] [protein_id=QWL56087.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442990.1_cds_QWL56086.1_1 [protein=VP1] [protein_id=QWL56086.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442989.1_cds_QWL56085.1_1 [protein=VP1] [protein_id=QWL56085.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442988.1_cds_QWL56084.1_1 [protein=VP1] [protein_id=QWL56084.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442987.1_cds_QWL56083.1_1 [protein=VP1] [protein_id=QWL56083.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442986.1_cds_QWL56082.1_1 [protein=VP1] [protein_id=QWL56082.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442985.1_cds_QWL56081.1_1 [protein=VP1] [protein_id=QWL56081.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442984.1_cds_QWL56080.1_1 [protein=VP1] [protein_id=QWL56080.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442983.1_cds_QWL56079.1_1 [protein=VP1] [protein_id=QWL56079.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442982.1_cds_QWL56078.1_1 [protein=VP1] [protein_id=QWL56078.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442981.1_cds_QWL56077.1_1 [protein=VP1] [protein_id=QWL56077.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442980.1_cds_QWL56076.1_1 [protein=VP1] [protein_id=QWL56076.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442979.1_cds_QWL56075.1_1 [protein=VP1] [protein_id=QWL56075.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442978.1_cds_QWL56074.1_1 [protein=VP1] [protein_id=QWL56074.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442977.1_cds_QWL56073.1_1 [protein=VP1] [protein_id=QWL56073.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442976.1_cds_QWL56072.1_1 [protein=VP1] [protein_id=QWL56072.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442975.1_cds_QWL56071.1_1 [protein=VP1] [protein_id=QWL56071.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442974.1_cds_QWL56070.1_1 [protein=VP1] [protein_id=QWL56070.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442973.1_cds_QWL56069.1_1 [protein=VP1] [protein_id=QWL56069.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442972.1_cds_QWL56068.1_1 [protein=VP1] [protein_id=QWL56068.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442971.1_cds_QWL56067.1_1 [protein=VP1] [protein_id=QWL56067.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442970.1_cds_QWL56066.1_1 [protein=VP1] [protein_id=QWL56066.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442969.1_cds_QWL56065.1_1 [protein=VP1] [protein_id=QWL56065.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442968.1_cds_QWL56064.1_1 [protein=VP1] [protein_id=QWL56064.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442967.1_cds_QWL56063.1_1 [protein=VP1] [protein_id=QWL56063.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442966.1_cds_QWL56062.1_1 [protein=VP1] [protein_id=QWL56062.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442965.1_cds_QWL56061.1_1 [protein=VP1] [protein_id=QWL56061.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442964.1_cds_QWL56060.1_1 [protein=VP1] [protein_id=QWL56060.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442963.1_cds_QWL56059.1_1 [protein=VP1] [protein_id=QWL56059.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442962.1_cds_QWL56058.1_1 [protein=VP1] [protein_id=QWL56058.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442961.1_cds_QWL56057.1_1 [protein=VP1] [protein_id=QWL56057.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442960.1_cds_QWL56056.1_1 [protein=VP1] [protein_id=QWL56056.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442959.1_cds_QWL56055.1_1 [protein=VP1] [protein_id=QWL56055.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442958.1_cds_QWL56054.1_1 [protein=VP1] [protein_id=QWL56054.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442957.1_cds_QWL56053.1_1 [protein=VP1] [protein_id=QWL56053.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442956.1_cds_QWL56052.1_1 [protein=VP1] [protein_id=QWL56052.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442955.1_cds_QWL56051.1_1 [protein=VP1] [protein_id=QWL56051.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442954.1_cds_QWL56050.1_1 [protein=VP1] [protein_id=QWL56050.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442953.1_cds_QWL56049.1_1 [protein=VP1] [protein_id=QWL56049.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442952.1_cds_QWL56048.1_1 [protein=VP1] [protein_id=QWL56048.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442951.1_cds_QWL56047.1_1 [protein=VP1] [protein_id=QWL56047.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442950.1_cds_QWL56046.1_1 [protein=VP1] [protein_id=QWL56046.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442949.1_cds_QWL56045.1_1 [protein=VP1] [protein_id=QWL56045.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442948.1_cds_QWL56044.1_1 [protein=VP1] [protein_id=QWL56044.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442947.1_cds_QWL56043.1_1 [protein=VP1] [protein_id=QWL56043.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442946.1_cds_QWL56042.1_1 [protein=VP1] [protein_id=QWL56042.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442945.1_cds_QWL56041.1_1 [protein=VP1] [protein_id=QWL56041.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442944.1_cds_QWL56040.1_1 [protein=VP1] [protein_id=QWL56040.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442943.1_cds_QWL56039.1_1 [protein=VP1] [protein_id=QWL56039.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442942.1_cds_QWL56038.1_1 [protein=VP1] [protein_id=QWL56038.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442941.1_cds_QWL56037.1_1 [protein=VP1] [protein_id=QWL56037.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442940.1_cds_QWL56036.1_1 [protein=VP1] [protein_id=QWL56036.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442939.1_cds_QWL56035.1_1 [protein=VP1] [protein_id=QWL56035.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442938.1_cds_QWL56034.1_1 [protein=VP1] [protein_id=QWL56034.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442937.1_cds_QWL56033.1_1 [protein=VP1] [protein_id=QWL56033.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442936.1_cds_QWL56032.1_1 [protein=VP1] [protein_id=QWL56032.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442935.1_cds_QWL56031.1_1 [protein=VP1] [protein_id=QWL56031.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442934.1_cds_QWL56030.1_1 [protein=VP1] [protein_id=QWL56030.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442933.1_cds_QWL56029.1_1 [protein=VP1] [protein_id=QWL56029.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442932.1_cds_QWL56028.1_1 [protein=VP1] [protein_id=QWL56028.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442931.1_cds_QWL56027.1_1 [protein=VP1] [protein_id=QWL56027.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442930.1_cds_QWL56026.1_1 [protein=VP1] [protein_id=QWL56026.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442929.1_cds_QWL56025.1_1 [protein=VP1] [protein_id=QWL56025.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442928.1_cds_QWL56024.1_1 [protein=VP1] [protein_id=QWL56024.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442927.1_cds_QWL56023.1_1 [protein=VP1] [protein_id=QWL56023.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442926.1_cds_QWL56022.1_1 [protein=VP1] [protein_id=QWL56022.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442925.1_cds_QWL56021.1_1 [protein=VP1] [protein_id=QWL56021.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442924.1_cds_QWL56020.1_1 [protein=VP1] [protein_id=QWL56020.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442923.1_cds_QWL56019.1_1 [protein=VP1] [protein_id=QWL56019.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442922.1_cds_QWL56018.1_1 [protein=VP1] [protein_id=QWL56018.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442921.1_cds_QWL56017.1_1 [protein=VP1] [protein_id=QWL56017.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442920.1_cds_QWL56016.1_1 [protein=VP1] [protein_id=QWL56016.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442919.1_cds_QWL56015.1_1 [protein=VP1] [protein_id=QWL56015.1] [location=<1..>639] [gbkey=CDS]	639	O
